"Automatic cross-sell and upsell module","Automatic cross-sell and upsell module"
"Automatic cross-sells and upsells Settings","Automatic cross-sells and upsells Settings"
"select yes to enable automatic cross-sell and upsell module","select yes to enable automatic cross-sell and upsell module"
"cross-sell settings","cross-sell settings"
"select yes to enable automatic cross-sells action","select yes to enable automatic cross-sells action"
"up-sell settings","up-sell settings"
"select yes to enable automatic up-sell action","select yes to enable automatic up-sell action"
"Category Filter","Category Filter"
"select yes to enable category filter in automatic cross-sells","select yes to enable category filter in automatic cross-sells"
"Yes","Yes"
"No","No"
